"","Date","Set","Trophy","Colors","W","L","Format","Start Rank","End Rank"
"20","8/17/2021 4:10","KHM",NA,"WR","0","0","QuickDraft",NA,NA
"21","8/17/2021 4:03","KHM",NA,"WBurg","0","0","QuickDraft",NA,NA
"22","8/17/2021 3:46","KHM",NA,"BGw","0","3","QuickDraft","Mythic-1","Mythic-1"
"23","8/17/2021 3:36","KHM",NA,"WURg","0","0","QuickDraft",NA,NA
"24","8/17/2021 2:59","KHM",NA,"WB","1","3","QuickDraft","Mythic-1","Mythic-1"
"25","8/17/2021 2:18","KHM",NA,"RG","1","3","QuickDraft","Mythic-1","Mythic-1"
"26","8/17/2021 1:34","KHM",NA,"WR","2","3","QuickDraft","Mythic-1","Mythic-1"
"27","8/16/2021 23:46","KHM",NA,"WUGb","3","3","QuickDraft","Mythic-1","Mythic-1"
"28","8/16/2021 23:37","KHM",NA,"BG","0","0","QuickDraft",NA,NA
"29","8/16/2021 23:26","KHM",NA,"WGr","0","0","QuickDraft",NA,NA
"30","8/16/2021 22:11","KHM","x","WR","7","2","QuickDraft","Mythic-1","Mythic-1"
"31","8/16/2021 21:19","KHM",NA,"URGb","3","3","QuickDraft","Mythic-1","Mythic-1"
"32","8/16/2021 20:02","KHM",NA,"WR","2","3","QuickDraft","Mythic-1","Mythic-1"
"33","8/16/2021 16:34","KHM",NA,"WG","1","3","QuickDraft","Mythic-1","Mythic-1"
"34","8/16/2021 16:24","KHM",NA,"WR","0","0","QuickDraft",NA,NA
