Date,Set,Trophy,Colors,W/L,Format,Start Rank,End Rank,Shareable Links
5/28/2021 11:15,STX,,UBRw,3 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/27/2021 12:10,STX,,WUGbr,1 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/27/2021 11:12,STX,,WB,2 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/27/2021 10:03,STX,,WB,4 - 3,PremierDraft,Diamond-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/26/2021 12:23,STX,x,WB,7 - 1,PremierDraft,Diamond-2,Diamond-1,"Draft, Pool, Deck 1, Deck 2, Details"
5/26/2021 11:09,STX,,UGbr,1 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
5/19/2021 4:43,STX,,UR,5 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
5/19/2021 4:07,STX,,WBr,0 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
5/18/2021 22:36,STX,,URg,0 - 3,PremierDraft,Diamond-1,Diamond-2,"Draft, Pool, Deck 1, Details"
5/17/2021 10:47,STX,,UG,3 - 3,PremierDraft,Diamond-1,Diamond-1,"Draft, Pool, Deck 1, Details"
5/17/2021 2:38,STX,x,WR,7 - 2,PremierDraft,Diamond-2,Diamond-1,"Draft, Pool, Deck 1, Details"
5/17/2021 2:08,STX,,WBr,0 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
5/17/2021 1:00,STX,,WB,5 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
5/17/2021 0:01,STX,,WB,2 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
5/16/2021 7:21,STX,,WB,6 - 3,PremierDraft,Diamond-3,Diamond-2,"Draft, Pool, Deck 1, Details"
5/16/2021 5:34,STX,,URG,4 - 3,PremierDraft,Diamond-4,Diamond-3,"Draft, Pool, Deck 1, Details"
5/16/2021 4:14,STX,x,WB,7 - 2,PremierDraft,Platinum-1,Diamond-4,"Draft, Pool, Deck 1, Details"
5/16/2021 2:19,STX,,URw,4 - 3,PremierDraft,Platinum-2,Platinum-1,"Draft, Pool, Deck 1, Details"
5/14/2021 16:03,STX,,WBg,1 - 3,PremierDraft,Platinum-1,Platinum-2,"Draft, Pool, Deck 1, Details"
5/14/2021 15:17,STX,,BGw,0 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Deck 2, Details"
5/14/2021 6:36,STX,x,WBr,7 - 0,PremierDraft,Platinum-3,Platinum-1,"Draft, Pool, Deck 1, Details"
5/14/2021 5:45,STX,,UBG,0 - 3,PremierDraft,Platinum-2,Platinum-3,"Draft, Pool, Deck 1, Details"
5/14/2021 4:39,STX,,UGbr,1 - 3,PremierDraft,Platinum-2,Platinum-2,"Draft, Pool, Deck 1, Details"
5/14/2021 1:50,STX,,WR,0 - 3,PremierDraft,Platinum-1,Platinum-2,"Draft, Pool, Deck 1, Details"
5/14/2021 0:46,STX,,WB,3 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Details"
5/13/2021 23:13,STX,,UGr,4 - 3,PremierDraft,Platinum-1,Platinum-1,"Draft, Pool, Deck 1, Details"
5/13/2021 12:18,STX,,URw,6 - 3,PremierDraft,Platinum-2,Platinum-1,"Draft, Pool, Deck 1, Details"
5/13/2021 11:40,STX,,WB,2 - 3,PremierDraft,Platinum-2,Platinum-2,"Draft, Pool, Deck 1, Details"
5/13/2021 10:38,STX,,UGb,1 - 3,PremierDraft,Platinum-2,Platinum-2,"Draft, Pool, Deck 1, Deck 2, Details"
5/12/2021 13:03,STX,,WBG,1 - 3,PremierDraft,Platinum-2,Platinum-2,"Draft, Pool, Deck 1, Details"
5/12/2021 11:28,STX,x,UGwr,7 - 2,PremierDraft,Platinum-3,Platinum-2,"Draft, Pool, Deck 1, Details"
5/12/2021 9:18,STX,,WURg,3 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
5/11/2021 12:59,STX,,WBr,4 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
5/10/2021 12:37,STX,,UGbr,5 - 3,PremierDraft,Platinum-4,Platinum-3,"Draft, Pool, Deck 1, Details"
5/10/2021 11:31,STX,,WRb,2 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/9/2021 14:18,STX,,WBr,0 - 3,OpenSealed_D1_Bo1,,,"Pool, Deck 1, Details"
5/9/2021 13:15,STX,,URG,3 - 3,OpenSealed_D1_Bo1,,,"Pool, Deck 1, Details"
5/9/2021 12:05,STX,,BGu,3 - 3,OpenSealed_D1_Bo1,,,"Pool, Deck 1, Details"
5/9/2021 11:52,STX,,WBRGu,0 - 0,PremierDraft,,,"Draft, Pool, Deck 1, Deck 2, Details"
5/9/2021 11:00,STX,,WBr,4 - 3,OpenSealed_D1_Bo1,,,"Pool, Deck 1, Details"
5/9/2021 1:36,STX,,UBG,5 - 3,OpenSealed_D1_Bo1,,,"Pool, Deck 1, Details"
5/9/2021 0:38,STX,,WB,4 - 3,OpenSealed_D1_Bo1,,,"Pool, Deck 1, Details"
5/8/2021 13:16,STX,,BG,0 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
5/8/2021 12:14,STX,,WB,0 - 3,PremierDraft,Platinum-2,Platinum-3,"Draft, Pool, Deck 1, Details"
5/8/2021 11:16,STX,,WBr,2 - 3,PremierDraft,Platinum-3,Platinum-2,"Draft, Pool, Deck 1, Details"
5/8/2021 7:55,STX,,WB,4 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
5/8/2021 6:26,STX,x,WB,7 - 2,PremierDraft,Platinum-4,Platinum-3,"Draft, Pool, Deck 1, Details"
5/8/2021 5:44,STX,,URG,1 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Deck 2, Details"
5/8/2021 5:14,STX,,BG,0 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/8/2021 1:41,STX,,UGr,3 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/8/2021 1:04,STX,,URg,0 - 3,PremierDraft,Platinum-3,Platinum-4,"Draft, Pool, Deck 1, Details"
5/8/2021 0:14,STX,,WBR,1 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Deck 2, Details"
5/7/2021 12:49,STX,,UR,6 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
5/7/2021 7:42,STX,,UBRG,1 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
5/7/2021 6:56,STX,,UGwr,1 - 3,PremierDraft,Platinum-3,Platinum-3,"Draft, Pool, Deck 1, Details"
5/5/2021 11:09,STX,,URG,6 - 3,Sealed,,,"Pool, Deck 1, Details"
5/5/2021 10:51,STX,,WB,0 - 3,Sealed,,,"Pool, Deck 1, Details"
5/4/2021 22:31,STX,,WB,6 - 3,Sealed,,,"Pool, Deck 1, Details"
5/3/2021 0:31,STX,x,UGb,7 - 1,PremierDraft,Platinum-4,Platinum-3,"Draft, Pool, Deck 1, Details"
5/3/2021 0:10,STX,,WBRug,0 - 0,PremierDraft,,,"Draft, Pool, Deck 1, Details"
5/2/2021 23:51,STX,,UBG,0 - 0,PremierDraft,,,"Draft, Pool, Deck 1, Details"
5/2/2021 13:28,STX,,UG,6 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/2/2021 12:24,STX,,UGr,1 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/2/2021 11:33,STX,,UGr,0 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/2/2021 10:39,STX,,UGr,0 - 2,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/2/2021 9:42,STX,,URw,1 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Deck 2, Details"
5/2/2021 8:52,STX,,WBR,0 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/2/2021 8:16,STX,,WR,0 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/2/2021 7:11,STX,,WB,5 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/2/2021 5:51,STX,,WUR,3 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/2/2021 4:23,STX,,URG,3 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Deck 2, Details"
5/2/2021 3:19,STX,,URg,1 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Deck 2, Details"
5/2/2021 2:29,STX,,UGb,0 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/2/2021 1:33,STX,,WUR,2 - 3,PremierDraft,Platinum-4,Platinum-4,"Draft, Pool, Deck 1, Details"
5/1/2021 11:45,STX,,WR,3 - 3,PremierDraft,Gold-1,Platinum-4,"Draft, Pool, Deck 1, Deck 2, Deck 3, Deck 4
Details"
5/1/2021 9:19,STX,,WB,4 - 3,PremierDraft,Gold-2,Gold-1,"Draft, Pool, Deck 1, Details"
5/1/2021 8:04,STX,,BG,3 - 3,PremierDraft,Gold-3,Gold-2,"Draft, Pool, Deck 1, Details"
5/1/2021 4:11,STX,,UGr,0 - 3,PremierDraft,Gold-2,Gold-3,"Draft, Pool, Deck 1, Details"
5/1/2021 3:02,STX,,WB,3 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
5/1/2021 2:17,STX,,BG,1 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
5/1/2021 1:23,STX,,URG,1 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
5/1/2021 0:12,STX,,WRb,3 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
4/30/2021 13:28,STX,,BGu,1 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
4/30/2021 12:27,STX,,WURg,3 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
4/30/2021 3:51,STX,,URG,0 - 3,Sealed,,,"Pool, Deck 1, Details"
4/29/2021 3:37,STX,x,WB,7 - 2,Sealed,,,"Pool, Deck 1, Details"
4/28/2021 12:51,STX,,URGwb,1 - 3,Sealed,,,"Pool, Deck 1, Details"
4/28/2021 4:24,STX,,UBGwr,5 - 3,Sealed,,,"Pool, Deck 1, Details"
4/28/2021 3:42,STX,,URGb,3 - 3,Sealed,,,"Pool, Deck 1, Details"
4/27/2021 11:16,STX,,URGb,1 - 3,Sealed,,,"Pool, Deck 1, Deck 2, Details"
4/27/2021 4:07,STX,,URGb,2 - 3,Sealed,,,"Pool, Deck 1, Details"
4/27/2021 3:42,STX,,WUR,0 - 3,Sealed,,,"Pool, Deck 1, Details"
4/26/2021 12:54,STX,,WUR,2 - 3,PremierDraft,Diamond-4,Diamond-3,"Draft, Pool, Deck 1, Details"
4/26/2021 12:07,STX,,WUBR,0 - 3,PremierDraft,Diamond-3,Diamond-4,"Draft, Pool, Deck 1, Details"
4/26/2021 11:06,STX,,UBG,1 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
4/26/2021 9:57,STX,,UR,3 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
4/26/2021 8:30,STX,,UBG,3 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
4/26/2021 7:16,STX,,UBGr,3 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
4/26/2021 6:29,STX,,UBGr,0 - 3,PremierDraft,Diamond-2,Diamond-3,"Draft, Pool, Deck 1, Details"
4/26/2021 5:32,STX,,WB,4 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
4/26/2021 4:32,STX,,UGb,0 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
4/26/2021 2:43,STX,,UGb,5 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Deck 2, Deck 3, Details"
4/26/2021 1:25,STX,,UGbr,1 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
4/26/2021 0:24,STX,,URGb,2 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
4/25/2021 23:10,STX,,URGb,2 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
4/24/2021 23:32,STX,,WR,1 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Deck 2, Details"
