Date,Set,Trophy,Colors,W/L,Format,Start Rank,End Rank,Shareable Links
8/10/2021 2:58,AFR,x,RG,7 - 2,QuickDraft,Diamond-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/10/2021 1:51,AFR,,BRug,3 - 3,QuickDraft,Diamond-1,Diamond-1,"Draft, Pool, Deck 1, Deck 2, Details"
8/9/2021 23:28,AFR,,BRg,3 - 3,QuickDraft,Diamond-2,Diamond-1,"Draft, Pool, Deck 1, Deck 2, Details"
8/9/2021 22:38,AFR,,WB,3 - 3,PremierDraft,Diamond-2,Diamond-1,"Draft, Pool, Deck 1, Details"
8/9/2021 21:59,AFR,,RGw,0 - 3,PremierDraft,Diamond-1,Diamond-1,"Draft, Pool, Deck 1, Details"
8/9/2021 21:03,AFR,,RG,4 - 3,PremierDraft,Diamond-2,Diamond-1,"Draft, Pool, Deck 1, Details"
8/9/2021 19:00,AFR,,BRw,6 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
8/9/2021 18:10,AFR,,WGb,1 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Deck 2, Details"
8/8/2021 16:32,AFR,,WGu,2 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Deck 2, Details"
8/7/2021 20:51,AFR,,BR,2 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
8/7/2021 19:30,AFR,,WUg,1 - 3,PremierDraft,Diamond-1,Diamond-2,"Draft, Pool, Deck 1, Details"
8/7/2021 18:06,AFR,,WBg,4 - 3,PremierDraft,Diamond-2,Diamond-1,"Draft, Pool, Deck 1, Details"
8/7/2021 16:34,AFR,,WGbr,5 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
8/7/2021 4:35,AFR,x,BR,7 - 2,PremierDraft,Diamond-3,Diamond-2,"Draft, Pool, Deck 1, Details"
8/7/2021 3:33,AFR,,RGw,3 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Deck 2, Details"
8/7/2021 2:17,AFR,,BRwug,3 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
8/7/2021 0:51,AFR,,WB,4 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
8/6/2021 23:14,AFR,,WB,2 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Details"
8/6/2021 22:16,AFR,,WG,0 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Deck 2, Details"
8/6/2021 21:36,AFR,,BR,1 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
8/6/2021 20:06,AFR,,BR,6 - 3,PremierDraft,Diamond-3,Diamond-2,"Draft, Pool, Deck 1, Details"
8/6/2021 19:51,AFR,,WB,0 - 0,PremierDraft,,,"Draft, Pool, Deck 1, Details"
8/5/2021 7:08,AFR,,UBr,1 - 3,PremierDraft,Diamond-3,Diamond-3,"Draft, Pool, Deck 1, Deck 2, Details"
8/5/2021 5:58,AFR,,RG,1 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
8/5/2021 5:12,AFR,,UR,3 - 3,PremierDraft,Diamond-3,Diamond-2,"Draft, Pool, Deck 1, Details"
